,06J37,basinwide_average
1977-03-01,5.2,0.4138662893526707
1977-04-01,7.3,0.5810045985143262
1977-05-01,7.3,0.5810045985143262
1977-06-01,7.3,0.5810045985143262
1977-07-01,7.3,0.5810045985143262
1977-08-01,7.3,0.5810045985143262
1977-09-01,7.3,0.5810045985143262
1977-10-01,0.0,0.0
1977-11-01,0.0,0.0
1977-12-01,0.0,0.0
1978-01-01,0.0,0.0
1978-02-01,12.5,0.9948708878669968
1978-03-01,15.7,1.249557835160948
1978-04-01,20.2,1.6077113547930668
1978-05-01,20.2,1.6077113547930668
1978-06-01,20.2,1.6077113547930668
1978-07-01,20.2,1.6077113547930668
1978-08-01,20.2,1.6077113547930668
1978-09-01,20.2,1.6077113547930668
1978-10-01,0.0,0.0
1978-11-01,0.0,0.0
1978-12-01,0.0,0.0
1979-01-01,0.0,0.0
1979-02-01,12.0,0.955076052352317
1979-03-01,15.8,1.257516802263884
1979-04-01,18.4,1.4644499469402192
1979-05-01,18.4,1.4644499469402192
1979-06-01,18.4,1.4644499469402192
1979-07-01,18.4,1.4644499469402192
1979-08-01,18.4,1.4644499469402192
1979-09-01,18.4,1.4644499469402192
1979-10-01,0.0,0.0
1979-11-01,0.0,0.0
1979-12-01,0.0,0.0
1980-01-01,0.0,0.0
1980-02-01,11.7,0.931199151043509
1980-03-01,11.7,0.931199151043509
1980-04-01,17.5,1.3928192430137956
1980-05-01,17.5,1.3928192430137956
1980-06-01,17.5,1.3928192430137956
1980-07-01,17.5,1.3928192430137956
1980-08-01,17.5,1.3928192430137956
1980-09-01,17.5,1.3928192430137956
1980-10-01,0.0,0.0
1980-11-01,0.0,0.0
1980-12-01,0.0,0.0
1981-01-01,0.0,0.0
1981-02-01,3.1,0.24672798019101522
1981-03-01,5.6,0.4457021577644146
1981-04-01,5.6,0.4457021577644146
1981-05-01,5.6,0.4457021577644146
1981-06-01,5.6,0.4457021577644146
1981-07-01,5.6,0.4457021577644146
1981-08-01,5.6,0.4457021577644146
1981-09-01,5.6,0.4457021577644146
1981-10-01,0.0,0.0
1981-11-01,0.0,0.0
1981-12-01,0.0,0.0
1982-01-01,0.0,0.0
1982-02-01,0.0,0.0
1982-03-01,14.0,1.1142553944110365
1982-04-01,17.4,1.3848602759108595
1982-05-01,17.4,1.3848602759108595
1982-06-01,17.4,1.3848602759108595
1982-07-01,17.4,1.3848602759108595
1982-08-01,17.4,1.3848602759108595
1982-09-01,17.4,1.3848602759108595
1982-10-01,0.0,0.0
1982-11-01,0.0,0.0
1982-12-01,0.0,0.0
1983-01-01,0.0,0.0
1983-02-01,7.9,0.628758401131942
1983-03-01,10.5,0.8356915458082773
1983-04-01,14.0,1.1142553944110365
1983-05-01,14.0,1.1142553944110365
1983-06-01,14.0,1.1142553944110365
1983-07-01,14.0,1.1142553944110365
1983-08-01,14.0,1.1142553944110365
1983-09-01,14.0,1.1142553944110365
1983-10-01,0.0,0.0
1983-11-01,0.0,0.0
1983-12-01,0.0,0.0
1984-01-01,0.0,0.0
1984-02-01,12.9,1.0267067562787409
1984-03-01,14.8,1.1779271312345243
1984-04-01,18.7,1.4883268482490273
1984-05-01,18.7,1.4883268482490273
1984-06-01,18.7,1.4883268482490273
1984-07-01,18.7,1.4883268482490273
1984-08-01,18.7,1.4883268482490273
1984-09-01,18.7,1.4883268482490273
1984-10-01,0.0,0.0
1984-11-01,0.0,0.0
1984-12-01,0.0,0.0
1985-01-01,0.0,0.0
1985-02-01,11.0,0.8754863813229572
1985-03-01,12.9,1.0267067562787409
1985-04-01,13.8,1.0983374602051645
1985-05-01,13.8,1.0983374602051645
1985-06-01,13.8,1.0983374602051645
1985-07-01,13.8,1.0983374602051645
1985-08-01,13.8,1.0983374602051645
1985-09-01,13.8,1.0983374602051645
1985-10-01,0.0,0.0
1985-11-01,0.0,0.0
1985-12-01,0.0,0.0
1986-01-01,0.0,0.0
1986-02-01,0.0,0.0
1986-03-01,0.0,0.0
1986-04-01,0.0,0.0
1986-05-01,0.0,0.0
1986-06-01,0.0,0.0
1986-07-01,0.0,0.0
1986-08-01,0.0,0.0
1986-09-01,0.0,0.0
1986-10-01,0.0,0.0
1986-11-01,0.0,0.0
1986-12-01,0.0,0.0
1987-01-01,0.0,0.0
1987-02-01,0.0,0.0
1987-03-01,0.0,0.0
1987-04-01,0.0,0.0
1987-05-01,0.0,0.0
1987-06-01,0.0,0.0
1987-07-01,0.0,0.0
1987-08-01,0.0,0.0
1987-09-01,0.0,0.0
1987-10-01,0.0,0.0
1987-11-01,0.0,0.0
1987-12-01,0.0,0.0
1988-01-01,0.0,0.0
1988-02-01,0.0,0.0
1988-03-01,0.0,0.0
1988-04-01,0.0,0.0
1988-05-01,0.0,0.0
1988-06-01,0.0,0.0
1988-07-01,0.0,0.0
1988-08-01,0.0,0.0
1988-09-01,0.0,0.0
1988-10-01,0.0,0.0
1988-11-01,0.0,0.0
1988-12-01,0.0,0.0
1989-01-01,0.0,0.0
1989-02-01,8.5,0.6765122037495579
1989-03-01,12.8,1.0187477891758048
1989-04-01,12.8,1.0187477891758048
1989-05-01,12.8,1.0187477891758048
1989-06-01,12.8,1.0187477891758048
1989-07-01,12.8,1.0187477891758048
1989-08-01,12.8,1.0187477891758048
1989-09-01,12.8,1.0187477891758048
1989-10-01,0.0,0.0
1989-11-01,0.0,0.0
1989-12-01,0.0,0.0
1990-01-01,0.0,0.0
1990-02-01,7.7,0.6128404669260701
1990-03-01,11.6,0.9232401839405731
1990-04-01,13.5,1.0744605588963567
1990-05-01,13.5,1.0744605588963567
1990-06-01,13.5,1.0744605588963567
1990-07-01,13.5,1.0744605588963567
1990-08-01,13.5,1.0744605588963567
1990-09-01,13.5,1.0744605588963567
1990-10-01,0.0,0.0
1990-11-01,0.0,0.0
1990-12-01,0.0,0.0
1991-01-01,0.0,0.0
1991-02-01,7.4,0.5889635656172622
1991-03-01,9.7,0.7720198089847895
1991-04-01,11.7,0.931199151043509
1991-05-01,11.7,0.931199151043509
1991-06-01,11.7,0.931199151043509
1991-07-01,11.7,0.931199151043509
1991-08-01,11.7,0.931199151043509
1991-09-01,11.7,0.931199151043509
1991-10-01,0.0,0.0
1991-11-01,0.0,0.0
1991-12-01,0.0,0.0
1992-01-01,0.0,0.0
1992-02-01,6.4,0.5093738945879024
1992-03-01,9.1,0.7242660063671736
1992-04-01,10.1,0.8038556773965334
1992-05-01,10.1,0.8038556773965334
1992-06-01,10.1,0.8038556773965334
1992-07-01,10.1,0.8038556773965334
1992-08-01,10.1,0.8038556773965334
1992-09-01,10.1,0.8038556773965334
1992-10-01,0.0,0.0
1992-11-01,0.0,0.0
1992-12-01,0.0,0.0
1993-01-01,0.0,0.0
1993-02-01,9.4,0.7481429076759817
1993-03-01,12.5,0.9948708878669968
1993-04-01,13.4,1.0665015917934206
1993-05-01,13.4,1.0665015917934206
1993-06-01,13.4,1.0665015917934206
1993-07-01,13.4,1.0665015917934206
1993-08-01,13.4,1.0665015917934206
1993-09-01,13.4,1.0665015917934206
1993-10-01,0.0,0.0
1993-11-01,0.0,0.0
1993-12-01,0.0,0.0
1994-01-01,0.0,0.0
1994-02-01,6.1,0.48549699327909446
1994-03-01,9.2,0.7322249734701096
1994-04-01,11.0,0.8754863813229572
1994-05-01,11.0,0.8754863813229572
1994-06-01,11.0,0.8754863813229572
1994-07-01,11.0,0.8754863813229572
1994-08-01,11.0,0.8754863813229572
1994-09-01,11.0,0.8754863813229572
1994-10-01,0.0,0.0
1994-11-01,0.0,0.0
1994-12-01,0.0,0.0
1995-01-01,0.0,0.0
1995-02-01,8.6,0.6844711708524938
1995-03-01,10.3,0.8197736116024055
1995-04-01,11.8,0.9391581181464451
1995-05-01,11.8,0.9391581181464451
1995-06-01,11.8,0.9391581181464451
1995-07-01,11.8,0.9391581181464451
1995-08-01,11.8,0.9391581181464451
1995-09-01,11.8,0.9391581181464451
1995-10-01,0.0,0.0
1995-11-01,0.0,0.0
1995-12-01,0.0,0.0
1996-01-01,0.0,0.0
1996-02-01,11.5,0.9152812168376371
1996-03-01,14.4,1.1460912628227804
1996-04-01,15.7,1.249557835160948
1996-05-01,15.7,1.249557835160948
1996-06-01,15.7,1.249557835160948
1996-07-01,15.7,1.249557835160948
1996-08-01,15.7,1.249557835160948
1996-09-01,15.7,1.249557835160948
1996-10-01,0.0,0.0
1996-11-01,0.0,0.0
1996-12-01,0.0,0.0
1997-01-01,0.0,0.0
1997-02-01,14.2,1.1301733286169084
1997-03-01,16.6,1.3211885390873719
1997-04-01,16.6,1.3211885390873719
1997-05-01,16.6,1.3211885390873719
1997-06-01,16.6,1.3211885390873719
1997-07-01,16.6,1.3211885390873719
1997-08-01,16.6,1.3211885390873719
1997-09-01,16.6,1.3211885390873719
1997-10-01,0.0,0.0
1997-11-01,0.0,0.0
1997-12-01,0.0,0.0
1998-01-01,0.0,0.0
1998-02-01,6.9,0.5491687301025823
1998-03-01,10.0,0.7958967102935975
1998-04-01,11.3,0.8993632826317652
1998-05-01,11.3,0.8993632826317652
1998-06-01,11.3,0.8993632826317652
1998-07-01,11.3,0.8993632826317652
1998-08-01,11.3,0.8993632826317652
1998-09-01,11.3,0.8993632826317652
1998-10-01,0.0,0.0
1998-11-01,0.0,0.0
1998-12-01,0.0,0.0
1999-01-01,0.0,0.0
1999-02-01,9.5,0.7561018747789177
1999-03-01,12.0,0.955076052352317
1999-04-01,12.1,0.9630350194552529
1999-05-01,12.1,0.9630350194552529
1999-06-01,12.1,0.9630350194552529
1999-07-01,12.1,0.9630350194552529
1999-08-01,12.1,0.9630350194552529
1999-09-01,12.1,0.9630350194552529
1999-10-01,0.0,0.0
1999-11-01,0.0,0.0
1999-12-01,0.0,0.0
2000-01-01,0.0,0.0
2000-02-01,7.4,0.5889635656172622
2000-03-01,11.5,0.9152812168376371
2000-04-01,11.5,0.9152812168376371
2000-05-01,11.5,0.9152812168376371
2000-06-01,11.5,0.9152812168376371
2000-07-01,11.5,0.9152812168376371
2000-08-01,11.5,0.9152812168376371
2000-09-01,11.5,0.9152812168376371
2000-10-01,0.0,0.0
2000-11-01,0.0,0.0
2000-12-01,0.0,0.0
2001-01-01,0.0,0.0
2001-02-01,7.1,0.5650866643084542
2001-03-01,10.5,0.8356915458082773
2001-04-01,10.5,0.8356915458082773
2001-05-01,10.5,0.8356915458082773
2001-06-01,10.5,0.8356915458082773
2001-07-01,10.5,0.8356915458082773
2001-08-01,10.5,0.8356915458082773
2001-09-01,10.5,0.8356915458082773
2001-10-01,0.0,0.0
2001-11-01,0.0,0.0
2001-12-01,0.0,0.0
2002-01-01,0.0,0.0
2002-02-01,7.6,0.6048814998231341
2002-03-01,10.5,0.8356915458082773
2002-04-01,13.7,1.0903784931022285
2002-05-01,13.7,1.0903784931022285
2002-06-01,13.7,1.0903784931022285
2002-07-01,13.7,1.0903784931022285
2002-08-01,13.7,1.0903784931022285
2002-09-01,13.7,1.0903784931022285
2002-10-01,0.0,0.0
2002-11-01,0.0,0.0
2002-12-01,0.0,0.0
2003-01-01,0.0,0.0
2003-02-01,7.5,0.5969225327201981
2003-03-01,9.8,0.7799787760877256
2003-04-01,12.4,0.9869119207640609
2003-05-01,12.4,0.9869119207640609
2003-06-01,12.4,0.9869119207640609
2003-07-01,12.4,0.9869119207640609
2003-08-01,12.4,0.9869119207640609
2003-09-01,12.4,0.9869119207640609
2003-10-01,0.0,0.0
2003-11-01,0.0,0.0
2003-12-01,0.0,0.0
2004-01-01,0.0,0.0
2004-02-01,7.8,0.6207994340290061
2004-03-01,9.7,0.7720198089847895
2004-04-01,9.7,0.7720198089847895
2004-05-01,9.7,0.7720198089847895
2004-06-01,9.7,0.7720198089847895
2004-07-01,9.7,0.7720198089847895
2004-08-01,9.7,0.7720198089847895
2004-09-01,9.7,0.7720198089847895
2004-10-01,0.0,0.0
2004-11-01,0.0,0.0
2004-12-01,0.0,0.0
2005-01-01,0.0,0.0
2005-02-01,8.3,0.6605942695436859
2005-03-01,11.5,0.9152812168376371
2005-04-01,11.6,0.9232401839405731
2005-05-01,11.6,0.9232401839405731
2005-06-01,11.6,0.9232401839405731
2005-07-01,11.6,0.9232401839405731
2005-08-01,11.6,0.9232401839405731
2005-09-01,11.6,0.9232401839405731
2005-10-01,0.0,0.0
2005-11-01,0.0,0.0
2005-12-01,0.0,0.0
2006-01-01,0.0,0.0
2006-02-01,11.0,0.8754863813229572
2006-03-01,13.4,1.0665015917934206
2006-04-01,16.1,1.281393703572692
2006-05-01,16.1,1.281393703572692
2006-06-01,16.1,1.281393703572692
2006-07-01,16.1,1.281393703572692
2006-08-01,16.1,1.281393703572692
2006-09-01,16.1,1.281393703572692
2006-10-01,0.0,0.0
2006-11-01,0.0,0.0
2006-12-01,0.0,0.0
2007-01-01,0.0,0.0
2007-02-01,7.2,0.5730456314113902
2007-03-01,10.4,0.8277325787053414
2007-04-01,10.4,0.8277325787053414
2007-05-01,10.4,0.8277325787053414
2007-06-01,10.4,0.8277325787053414
2007-07-01,10.4,0.8277325787053414
2007-08-01,10.4,0.8277325787053414
2007-09-01,10.4,0.8277325787053414
2007-10-01,0.0,0.0
2007-11-01,0.0,0.0
2007-12-01,0.0,0.0
2008-01-01,0.0,0.0
2008-02-01,10.7,0.8516094800141493
2008-03-01,15.3,1.2177219667492043
2008-04-01,16.7,1.3291475061903077
2008-05-01,18.8,1.4962858153519634
2008-06-01,18.8,1.4962858153519634
2008-07-01,18.8,1.4962858153519634
2008-08-01,18.8,1.4962858153519634
2008-09-01,18.8,1.4962858153519634
2008-10-01,0.0,0.0
2008-11-01,0.0,0.0
2008-12-01,0.0,0.0
2009-01-01,0.0,0.0
2009-02-01,11.8,0.9391581181464451
2009-03-01,14.1,1.1222143615139724
2009-04-01,16.2,1.289352670675628
2009-05-01,16.2,1.289352670675628
2009-06-01,16.2,1.289352670675628
2009-07-01,16.2,1.289352670675628
2009-08-01,16.2,1.289352670675628
2009-09-01,16.2,1.289352670675628
2009-10-01,0.0,0.0
2009-11-01,0.0,0.0
2009-12-01,0.0,0.0
2010-01-01,0.0,0.0
2010-02-01,7.9,0.628758401131942
2010-03-01,10.6,0.8436505129112133
2010-04-01,12.6,1.0028298549699328
2010-05-01,12.6,1.0028298549699328
2010-06-01,12.6,1.0028298549699328
2010-07-01,12.6,1.0028298549699328
2010-08-01,12.6,1.0028298549699328
2010-09-01,12.6,1.0028298549699328
2010-10-01,0.0,0.0
2010-11-01,0.0,0.0
2010-12-01,0.0,0.0
2011-01-01,0.0,0.0
2011-02-01,12.5,0.9948708878669968
2011-03-01,16.6,1.3211885390873719
2011-04-01,19.3,1.5360806508666431
2011-05-01,22.4,1.7828086310576583
2011-06-01,22.4,1.7828086310576583
2011-07-01,22.4,1.7828086310576583
2011-08-01,22.4,1.7828086310576583
2011-09-01,22.4,1.7828086310576583
2011-10-01,0.0,0.0
2011-11-01,0.0,0.0
2011-12-01,0.0,0.0
2012-01-01,0.0,0.0
2012-02-01,6.6,0.5252918287937743
2012-03-01,10.1,0.8038556773965334
2012-04-01,10.1,0.8038556773965334
2012-05-01,10.1,0.8038556773965334
2012-06-01,10.1,0.8038556773965334
2012-07-01,10.1,0.8038556773965334
2012-08-01,10.1,0.8038556773965334
2012-09-01,10.1,0.8038556773965334
2012-10-01,0.0,0.0
2012-11-01,0.0,0.0
2012-12-01,0.0,0.0
2013-01-01,0.0,0.0
2013-02-01,6.4,0.5093738945879024
2013-03-01,9.0,0.7163070392642378
2013-04-01,10.1,0.8038556773965334
2013-05-01,12.2,0.9709939865581889
2013-06-01,12.2,0.9709939865581889
2013-07-01,12.2,0.9709939865581889
2013-08-01,12.2,0.9709939865581889
2013-09-01,12.2,0.9709939865581889
2013-10-01,0.0,0.0
2013-11-01,0.0,0.0
2013-12-01,0.0,0.0
2014-01-01,0.0,0.0
2014-02-01,9.1,0.7242660063671736
2014-03-01,13.1,1.0426246904846126
2014-04-01,15.0,1.1938450654403963
2014-05-01,15.0,1.1938450654403963
2014-06-01,15.0,1.1938450654403963
2014-07-01,15.0,1.1938450654403963
2014-08-01,15.0,1.1938450654403963
2014-09-01,15.0,1.1938450654403963
2014-10-01,0.0,0.0
2014-11-01,0.0,0.0
2014-12-01,0.0,0.0
2015-01-01,0.0,0.0
2015-02-01,6.9,0.5491687301025823
2015-03-01,7.6,0.6048814998231341
2015-04-01,7.6,0.6048814998231341
2015-05-01,7.6,0.6048814998231341
2015-06-01,7.6,0.6048814998231341
2015-07-01,7.6,0.6048814998231341
2015-08-01,7.6,0.6048814998231341
2015-09-01,7.6,0.6048814998231341
2015-10-01,0.0,0.0
2015-11-01,0.0,0.0
2015-12-01,0.0,0.0
2016-01-01,0.0,0.0
2016-02-01,8.6,0.6844711708524938
2016-03-01,11.1,0.8834453484258932
2016-04-01,13.6,1.0824195259992926
2016-05-01,13.6,1.0824195259992926
2016-06-01,13.6,1.0824195259992926
2016-07-01,13.6,1.0824195259992926
2016-08-01,13.6,1.0824195259992926
2016-09-01,13.6,1.0824195259992926
2016-10-01,0.0,0.0
2016-11-01,0.0,0.0
2016-12-01,0.0,0.0
2017-01-01,0.0,0.0
2017-02-01,11.4,0.9073222497347012
2017-03-01,13.3,1.0585426246904848
2017-04-01,13.3,1.0585426246904848
2017-05-01,13.3,1.0585426246904848
2017-06-01,13.3,1.0585426246904848
2017-07-01,13.3,1.0585426246904848
2017-08-01,13.3,1.0585426246904848
2017-09-01,13.3,1.0585426246904848
2017-10-01,0.0,0.0
2017-11-01,0.0,0.0
2017-12-01,0.0,0.0
2018-01-01,0.0,0.0
2018-02-01,5.6,0.4457021577644146
2018-03-01,9.3,0.7401839405730457
2018-04-01,9.8,0.7799787760877256
2018-05-01,9.8,0.7799787760877256
2018-06-01,9.8,0.7799787760877256
2018-07-01,9.8,0.7799787760877256
2018-08-01,9.8,0.7799787760877256
2018-09-01,9.8,0.7799787760877256
2018-10-01,0.0,0.0
2018-11-01,0.0,0.0
2018-12-01,0.0,0.0
2019-01-01,0.0,0.0
2019-02-01,8.6,0.6844711708524938
2019-03-01,11.2,0.8914043155288291
2019-04-01,13.7,1.0903784931022285
2019-05-01,13.7,1.0903784931022285
2019-06-01,13.7,1.0903784931022285
2019-07-01,13.7,1.0903784931022285
2019-08-01,13.7,1.0903784931022285
2019-09-01,13.7,1.0903784931022285
2019-10-01,0.0,0.0
2019-11-01,0.0,0.0
2019-12-01,0.0,0.0
2020-01-01,0.0,0.0
2020-02-01,10.7,0.8516094800141493
2020-03-01,15.0,1.1938450654403963
2020-04-01,15.0,1.1938450654403963
2020-05-01,15.0,1.1938450654403963
2020-06-01,15.0,1.1938450654403963
2020-07-01,15.0,1.1938450654403963
2020-08-01,15.0,1.1938450654403963
2020-09-01,15.0,1.1938450654403963
2020-10-01,0.0,0.0
2020-11-01,0.0,0.0
2020-12-01,0.0,0.0
2021-01-01,0.0,0.0
2021-02-01,6.7,0.5332507958967103
2021-03-01,10.2,0.8118146444994694
2021-04-01,11.2,0.8914043155288291
2021-05-01,11.2,0.8914043155288291
2021-06-01,-999.0,-999.9
2021-07-01,-999.0,-999.9
2021-08-01,-999.0,-999.9
2021-09-01,-999.0,-999.9
