,07L01,07L04,06L02,380,680,1141,basinwide_average
1936-05-01,19.3,-999.0,14.1,-999.0,-999.0,-999.0,1.3960228989621384
1936-06-01,19.3,-999.0,14.1,-999.0,-999.0,-999.0,1.3960228989621384
1936-07-01,19.3,-999.0,14.1,-999.0,-999.0,-999.0,1.3960228989621384
1936-08-01,19.3,-999.0,14.1,-999.0,-999.0,-999.0,1.3960228989621384
1936-09-01,19.3,-999.0,14.1,-999.0,-999.0,-999.0,1.3960228989621384
1936-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1936-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1936-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1937-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1937-02-01,7.7,-999.0,4.5,-999.0,-999.0,-999.0,0.5013279619791865
1937-03-01,14.1,-999.0,7.8,-999.0,-999.0,-999.0,0.8962515238146262
1937-04-01,17.5,-999.0,10.1,-999.0,-999.0,-999.0,1.1330898963526037
1937-05-01,17.5,-999.0,10.1,-999.0,-999.0,-999.0,1.1330898963526037
1937-06-01,17.5,-999.0,10.1,-999.0,-999.0,-999.0,1.1330898963526037
1937-07-01,17.5,-999.0,10.1,-999.0,-999.0,-999.0,1.1330898963526037
1937-08-01,17.5,-999.0,10.1,-999.0,-999.0,-999.0,1.1330898963526037
1937-09-01,17.5,-999.0,10.1,-999.0,-999.0,-999.0,1.1330898963526037
1937-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1937-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1937-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1938-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1938-02-01,4.4,-999.0,5.0,-999.0,-999.0,-999.0,0.40653161329600473
1938-03-01,10.8,-999.0,7.2,-999.0,-999.0,-999.0,0.747075740444926
1938-04-01,17.4,-999.0,11.8,-999.0,-999.0,-999.0,1.2135091962153841
1938-05-01,17.4,-999.0,11.8,-999.0,-999.0,-999.0,1.2135091962153841
1938-06-01,17.4,-999.0,11.8,-999.0,-999.0,-999.0,1.2135091962153841
1938-07-01,17.4,-999.0,11.8,-999.0,-999.0,-999.0,1.2135091962153841
1938-08-01,17.4,-999.0,11.8,-999.0,-999.0,-999.0,1.2135091962153841
1938-09-01,17.4,-999.0,11.8,-999.0,-999.0,-999.0,1.2135091962153841
1938-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1938-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1938-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1939-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1939-02-01,7.3,-999.0,5.5,-999.0,-999.0,-999.0,0.5362772330832106
1939-03-01,10.7,-999.0,7.8,-999.0,-999.0,-999.0,0.7731156056211879
1939-04-01,11.9,-999.0,7.8,-999.0,-999.0,-999.0,0.8165753414541662
1939-05-01,11.9,-999.0,7.8,-999.0,-999.0,-999.0,0.8165753414541662
1939-06-01,11.9,-999.0,7.8,-999.0,-999.0,-999.0,0.8165753414541662
1939-07-01,11.9,-999.0,7.8,-999.0,-999.0,-999.0,0.8165753414541662
1939-08-01,11.9,-999.0,7.8,-999.0,-999.0,-999.0,0.8165753414541662
1939-09-01,11.9,-999.0,7.8,-999.0,-999.0,-999.0,0.8165753414541662
1939-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1939-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1939-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1940-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1940-02-01,5.4,-999.0,3.8,-999.0,-999.0,-999.0,0.3834250401654664
1940-03-01,9.3,-999.0,4.7,-999.0,-999.0,-999.0,0.569161446366161
1940-04-01,10.2,-999.0,4.7,-999.0,-999.0,-999.0,0.6017562482408947
1940-05-01,10.2,-999.0,4.7,-999.0,-999.0,-999.0,0.6017562482408947
1940-06-01,10.2,-999.0,4.7,-999.0,-999.0,-999.0,0.6017562482408947
1940-07-01,10.2,-999.0,4.7,-999.0,-999.0,-999.0,0.6017562482408947
1940-08-01,10.2,-999.0,4.7,-999.0,-999.0,-999.0,0.6017562482408947
1940-09-01,10.2,-999.0,4.7,-999.0,-999.0,-999.0,0.6017562482408947
1940-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1940-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1940-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1941-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1941-02-01,7.9,-999.0,4.1,-999.0,-999.0,-999.0,0.4887969113986762
1941-03-01,10.5,-999.0,6.1,-999.0,-999.0,-999.0,0.6818313718001628
1941-04-01,14.8,-999.0,7.5,-999.0,-999.0,-999.0,0.9067722814693586
1941-05-01,14.8,-999.0,7.5,-999.0,-999.0,-999.0,0.9067722814693586
1941-06-01,14.8,-999.0,7.5,-999.0,-999.0,-999.0,0.9067722814693586
1941-07-01,14.8,-999.0,7.5,-999.0,-999.0,-999.0,0.9067722814693586
1941-08-01,14.8,-999.0,7.5,-999.0,-999.0,-999.0,0.9067722814693586
1941-09-01,14.8,-999.0,7.5,-999.0,-999.0,-999.0,0.9067722814693586
1941-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1941-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1941-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1942-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1942-02-01,6.2,-999.0,3.5,-999.0,-999.0,-999.0,0.39756744247294684
1942-03-01,10.3,-999.0,6.0,-999.0,-999.0,-999.0,0.6696444975231648
1942-04-01,14.0,-999.0,8.3,-999.0,-999.0,-999.0,0.9173478040193865
1942-05-01,14.0,-999.0,8.3,-999.0,-999.0,-999.0,0.9173478040193865
1942-06-01,14.0,-999.0,8.3,-999.0,-999.0,-999.0,0.9173478040193865
1942-07-01,14.0,-999.0,8.3,-999.0,-999.0,-999.0,0.9173478040193865
1942-08-01,14.0,-999.0,8.3,-999.0,-999.0,-999.0,0.9173478040193865
1942-09-01,14.0,-999.0,8.3,-999.0,-999.0,-999.0,0.9173478040193865
1942-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1942-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1942-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1943-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1943-02-01,10.9,-999.0,7.9,-999.0,-999.0,-999.0,0.785302479898186
1943-03-01,15.8,-999.0,9.3,-999.0,-999.0,-999.0,1.031973257483871
1943-04-01,19.7,-999.0,12.4,-999.0,-999.0,-999.0,1.3264685330576027
1943-05-01,19.7,-999.0,12.4,-999.0,-999.0,-999.0,1.3264685330576027
1943-06-01,19.7,-999.0,12.4,-999.0,-999.0,-999.0,1.3264685330576027
1943-07-01,19.7,-999.0,12.4,-999.0,-999.0,-999.0,1.3264685330576027
1943-08-01,19.7,-999.0,12.4,-999.0,-999.0,-999.0,1.3264685330576027
1943-09-01,19.7,-999.0,12.4,-999.0,-999.0,-999.0,1.3264685330576027
1943-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1943-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1943-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1944-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1944-02-01,5.6,-999.0,3.3,-999.0,-999.0,-999.0,0.3659504046134543
1944-03-01,8.3,-999.0,4.0,-999.0,-999.0,-999.0,0.4983399050381673
1944-04-01,14.0,-999.0,7.6,-999.0,-999.0,-999.0,0.8827427092188748
1944-05-01,16.4,-999.0,7.6,-999.0,-999.0,-999.0,0.9696621808848314
1944-06-01,16.4,-999.0,7.6,-999.0,-999.0,-999.0,0.9696621808848314
1944-07-01,16.4,-999.0,7.6,-999.0,-999.0,-999.0,0.9696621808848314
1944-08-01,16.4,-999.0,7.6,-999.0,-999.0,-999.0,0.9696621808848314
1944-09-01,16.4,-999.0,7.6,-999.0,-999.0,-999.0,0.9696621808848314
1944-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1944-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1944-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1945-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1945-02-01,6.6,-999.0,2.9,-999.0,-999.0,-999.0,0.38239251125492946
1945-03-01,10.7,-999.0,2.9,-999.0,-999.0,-999.0,0.5308799420176051
1945-04-01,15.0,-999.0,2.9,-999.0,-999.0,-999.0,0.6866106620857774
1945-05-01,15.0,-999.0,2.9,-999.0,-999.0,-999.0,0.6866106620857774
1945-06-01,15.0,-999.0,2.9,-999.0,-999.0,-999.0,0.6866106620857774
1945-07-01,15.0,-999.0,2.9,-999.0,-999.0,-999.0,0.6866106620857774
1945-08-01,15.0,-999.0,2.9,-999.0,-999.0,-999.0,0.6866106620857774
1945-09-01,15.0,-999.0,2.9,-999.0,-999.0,-999.0,0.6866106620857774
1945-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1945-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1945-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1946-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1946-02-01,7.1,-999.0,4.6,-999.0,-999.0,-999.0,0.48454167903419904
1946-03-01,7.5,-999.0,5.5,-999.0,-999.0,-999.0,0.543520522388707
1946-04-01,8.3,-999.0,7.1,-999.0,-999.0,-999.0,0.6515910391547195
1946-05-01,8.3,-999.0,7.1,-999.0,-999.0,-999.0,0.6515910391547195
1946-06-01,8.3,-999.0,7.1,-999.0,-999.0,-999.0,0.6515910391547195
1946-07-01,8.3,-999.0,7.1,-999.0,-999.0,-999.0,0.6515910391547195
1946-08-01,8.3,-999.0,7.1,-999.0,-999.0,-999.0,0.6515910391547195
1946-09-01,8.3,-999.0,7.1,-999.0,-999.0,-999.0,0.6515910391547195
1946-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1946-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1946-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1947-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1947-02-01,6.1,-999.0,4.9,-999.0,-999.0,-999.0,0.4631559874212222
1947-03-01,10.2,-999.0,7.4,-999.0,-999.0,-999.0,0.7352330424714402
1947-04-01,13.4,-999.0,10.2,-999.0,-999.0,-999.0,0.9895460505614295
1947-05-01,13.4,-999.0,10.2,-999.0,-999.0,-999.0,0.9895460505614295
1947-06-01,13.4,-999.0,10.2,-999.0,-999.0,-999.0,0.9895460505614295
1947-07-01,13.4,-999.0,10.2,-999.0,-999.0,-999.0,0.9895460505614295
1947-08-01,13.4,-999.0,10.2,-999.0,-999.0,-999.0,0.9895460505614295
1947-09-01,13.4,-999.0,10.2,-999.0,-999.0,-999.0,0.9895460505614295
1947-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1947-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1947-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1948-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1948-02-01,5.7,-999.0,5.4,-999.0,-999.0,-999.0,0.473387333667738
1948-03-01,10.9,-999.0,8.2,-999.0,-999.0,-999.0,0.800133234812691
1948-04-01,15.3,-999.0,12.6,-999.0,-999.0,-999.0,1.1770033382796856
1948-05-01,15.3,-999.0,13.9,-999.0,-999.0,-999.0,1.2412699429092076
1948-06-01,15.3,-999.0,13.9,-999.0,-999.0,-999.0,1.2412699429092076
1948-07-01,15.3,-999.0,13.9,-999.0,-999.0,-999.0,1.2412699429092076
1948-08-01,15.3,-999.0,13.9,-999.0,-999.0,-999.0,1.2412699429092076
1948-09-01,15.3,-999.0,13.9,-999.0,-999.0,-999.0,1.2412699429092076
1948-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1948-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1948-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1949-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1949-02-01,9.9,-999.0,8.0,-999.0,-999.0,-999.0,0.7540296183422057
1949-03-01,11.8,-999.0,11.4,-999.0,-999.0,-999.0,0.9909227557754787
1949-04-01,15.1,-999.0,15.6,-999.0,-999.0,-999.0,1.3180675981192398
1949-05-01,15.1,-999.0,15.6,-999.0,-999.0,-999.0,1.3180675981192398
1949-06-01,15.1,-999.0,15.6,-999.0,-999.0,-999.0,1.3180675981192398
1949-07-01,15.1,-999.0,15.6,-999.0,-999.0,-999.0,1.3180675981192398
1949-08-01,15.1,-999.0,15.6,-999.0,-999.0,-999.0,1.3180675981192398
1949-09-01,15.1,-999.0,15.6,-999.0,-999.0,-999.0,1.3180675981192398
1949-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1949-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1949-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1950-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1950-02-01,11.0,-999.0,6.2,-999.0,-999.0,-999.0,0.7048831800354055
1950-03-01,14.5,-999.0,9.6,-999.0,-999.0,-999.0,0.9997226319126494
1950-04-01,16.9,-999.0,13.8,-999.0,-999.0,-999.0,1.2942726723816769
1950-05-01,16.9,-999.0,13.8,-999.0,-999.0,-999.0,1.2942726723816769
1950-06-01,16.9,-999.0,13.8,-999.0,-999.0,-999.0,1.2942726723816769
1950-07-01,16.9,-999.0,13.8,-999.0,-999.0,-999.0,1.2942726723816769
1950-08-01,16.9,-999.0,13.8,-999.0,-999.0,-999.0,1.2942726723816769
1950-09-01,16.9,-999.0,13.8,-999.0,-999.0,-999.0,1.2942726723816769
1950-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1950-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1950-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1951-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1951-02-01,13.8,-999.0,7.9,-999.0,-999.0,-999.0,0.8903301748278836
1951-03-01,16.0,-999.0,10.5,-999.0,-999.0,-999.0,1.0985395664473874
1951-04-01,16.0,-999.0,11.0,-999.0,-999.0,-999.0,1.123257491304896
1951-05-01,16.0,-999.0,11.0,-999.0,-999.0,-999.0,1.123257491304896
1951-06-01,16.0,-999.0,11.0,-999.0,-999.0,-999.0,1.123257491304896
1951-07-01,16.0,-999.0,11.0,-999.0,-999.0,-999.0,1.123257491304896
1951-08-01,16.0,-999.0,11.0,-999.0,-999.0,-999.0,1.123257491304896
1951-09-01,16.0,-999.0,11.0,-999.0,-999.0,-999.0,1.123257491304896
1951-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1951-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1951-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1952-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1952-02-01,19.3,-999.0,16.5,-999.0,-999.0,-999.0,1.514668938278179
1952-03-01,22.3,-999.0,19.3,-999.0,-999.0,-999.0,1.761738657062672
1952-04-01,26.7,-999.0,22.4,-999.0,-999.0,-999.0,2.0743421559001445
1952-05-01,26.7,-999.0,22.4,-999.0,-999.0,-999.0,2.0743421559001445
1952-06-01,26.7,-999.0,22.4,-999.0,-999.0,-999.0,2.0743421559001445
1952-07-01,26.7,-999.0,22.4,-999.0,-999.0,-999.0,2.0743421559001445
1952-08-01,26.7,-999.0,22.4,-999.0,-999.0,-999.0,2.0743421559001445
1952-09-01,26.7,-999.0,22.4,-999.0,-999.0,-999.0,2.0743421559001445
1952-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1952-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1952-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1953-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1953-02-01,7.2,-999.0,6.2,-999.0,-999.0,-999.0,0.5672606832309743
1953-03-01,9.1,-999.0,7.2,-999.0,-999.0,-999.0,0.6855077813482067
1953-04-01,11.2,-999.0,10.1,-999.0,-999.0,-999.0,0.9049262832294676
1953-05-01,11.2,-999.0,10.1,-999.0,-999.0,-999.0,0.9049262832294676
1953-06-01,11.2,-999.0,10.1,-999.0,-999.0,-999.0,0.9049262832294676
1953-07-01,11.2,-999.0,10.1,-999.0,-999.0,-999.0,0.9049262832294676
1953-08-01,11.2,-999.0,10.1,-999.0,-999.0,-999.0,0.9049262832294676
1953-09-01,11.2,-999.0,10.1,-999.0,-999.0,-999.0,0.9049262832294676
1953-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1953-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1953-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1954-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1954-02-01,4.7,-999.0,5.6,-999.0,-999.0,-999.0,0.4470580570832594
1954-03-01,5.8,-999.0,6.7,-999.0,-999.0,-999.0,0.541275582950008
1954-04-01,9.8,-999.0,9.9,-999.0,-999.0,-999.0,0.8443360881479897
1954-05-01,9.8,-999.0,9.9,-999.0,-999.0,-999.0,0.8443360881479897
1954-06-01,9.8,-999.0,9.9,-999.0,-999.0,-999.0,0.8443360881479897
1954-07-01,9.8,-999.0,9.9,-999.0,-999.0,-999.0,0.8443360881479897
1954-08-01,9.8,-999.0,9.9,-999.0,-999.0,-999.0,0.8443360881479897
1954-09-01,9.8,-999.0,9.9,-999.0,-999.0,-999.0,0.8443360881479897
1954-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1954-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1954-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1955-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1955-02-01,6.1,-999.0,4.3,-999.0,-999.0,-999.0,0.4334944775922121
1955-03-01,11.0,-999.0,6.7,-999.0,-999.0,-999.0,0.7296011048929139
1955-04-01,12.0,-999.0,9.9,-999.0,-999.0,-999.0,0.9240122705084498
1955-05-01,12.0,-999.0,9.9,-999.0,-999.0,-999.0,0.9240122705084498
1955-06-01,12.0,-999.0,9.9,-999.0,-999.0,-999.0,0.9240122705084498
1955-07-01,12.0,-999.0,9.9,-999.0,-999.0,-999.0,0.9240122705084498
1955-08-01,12.0,-999.0,9.9,-999.0,-999.0,-999.0,0.9240122705084498
1955-09-01,12.0,-999.0,9.9,-999.0,-999.0,-999.0,0.9240122705084498
1955-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1955-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1955-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1956-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1956-02-01,12.7,-999.0,9.1,-999.0,-999.0,-999.0,0.9098151033056736
1956-03-01,15.6,-999.0,11.9,-999.0,-999.0,-999.0,1.1532631774374185
1956-04-01,15.6,-999.0,11.9,-999.0,-999.0,-999.0,1.1532631774374185
1956-05-01,15.6,-999.0,11.9,-999.0,-999.0,-999.0,1.1532631774374185
1956-06-01,15.6,-999.0,11.9,-999.0,-999.0,-999.0,1.1532631774374185
1956-07-01,15.6,-999.0,11.9,-999.0,-999.0,-999.0,1.1532631774374185
1956-08-01,15.6,-999.0,11.9,-999.0,-999.0,-999.0,1.1532631774374185
1956-09-01,15.6,-999.0,11.9,-999.0,-999.0,-999.0,1.1532631774374185
1956-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1956-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1956-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1957-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1957-02-01,14.9,-999.0,12.8,-999.0,-999.0,-999.0,1.1724039296116961
1957-03-01,19.3,-999.0,14.4,-999.0,-999.0,-999.0,1.4108536538766436
1957-04-01,20.3,-999.0,18.5,-999.0,-999.0,-999.0,1.6497570842356946
1957-05-01,20.3,-999.0,19.1,-999.0,-999.0,-999.0,1.6794185940647048
1957-06-01,20.3,-999.0,19.1,-999.0,-999.0,-999.0,1.6794185940647048
1957-07-01,20.3,-999.0,19.1,-999.0,-999.0,-999.0,1.6794185940647048
1957-08-01,20.3,-999.0,19.1,-999.0,-999.0,-999.0,1.6794185940647048
1957-09-01,20.3,-999.0,19.1,-999.0,-999.0,-999.0,1.6794185940647048
1957-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1957-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1957-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1958-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1958-02-01,6.6,-999.0,5.0,-999.0,-999.0,-999.0,0.4862077956564649
1958-03-01,9.3,-999.0,7.3,-999.0,-999.0,-999.0,0.6976946556252048
1958-04-01,12.7,-999.0,10.7,-999.0,-999.0,-999.0,0.9889124628497006
1958-05-01,12.7,-999.0,10.7,-999.0,-999.0,-999.0,0.9889124628497006
1958-06-01,12.7,-999.0,10.7,-999.0,-999.0,-999.0,0.9889124628497006
1958-07-01,12.7,-999.0,10.7,-999.0,-999.0,-999.0,0.9889124628497006
1958-08-01,12.7,-999.0,10.7,-999.0,-999.0,-999.0,0.9889124628497006
1958-09-01,12.7,-999.0,10.7,-999.0,-999.0,-999.0,0.9889124628497006
1958-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1958-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1958-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1959-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1959-02-01,4.7,-999.0,3.0,-999.0,-999.0,-999.0,0.31852484782421553
1959-03-01,10.4,-999.0,6.8,-999.0,-999.0,-999.0,0.7128148219479264
1959-04-01,11.8,-999.0,7.1,-999.0,-999.0,-999.0,0.7783486020009063
1959-05-01,11.8,-999.0,7.1,-999.0,-999.0,-999.0,0.7783486020009063
1959-06-01,11.8,-999.0,7.1,-999.0,-999.0,-999.0,0.7783486020009063
1959-07-01,11.8,-999.0,7.1,-999.0,-999.0,-999.0,0.7783486020009063
1959-08-01,11.8,-999.0,7.1,-999.0,-999.0,-999.0,0.7783486020009063
1959-09-01,11.8,-999.0,7.1,-999.0,-999.0,-999.0,0.7783486020009063
1959-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1959-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1959-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1960-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1960-02-01,2.1,-999.0,4.3,-999.0,-999.0,-999.0,0.28862869148228454
1960-03-01,4.3,-999.0,7.8,-999.0,-999.0,-999.0,0.5413303478453038
1960-04-01,10.4,-999.0,10.3,-999.0,-999.0,-999.0,0.8858402959504856
1960-05-01,10.4,-999.0,10.3,-999.0,-999.0,-999.0,0.8858402959504856
1960-06-01,10.4,-999.0,10.3,-999.0,-999.0,-999.0,0.8858402959504856
1960-07-01,10.4,-999.0,10.3,-999.0,-999.0,-999.0,0.8858402959504856
1960-08-01,10.4,-999.0,10.3,-999.0,-999.0,-999.0,0.8858402959504856
1960-09-01,10.4,-999.0,10.3,-999.0,-999.0,-999.0,0.8858402959504856
1960-10-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1960-11-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1960-12-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1961-01-01,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1961-02-01,5.6,-999.0,3.5,-999.0,-999.0,-999.0,0.37583757455645767
1961-03-01,6.4,7.6,4.4,-999.0,-999.0,-999.0,0.43144542387240165
1961-04-01,11.1,12.0,8.1,-999.0,-999.0,-999.0,0.7432343867503982
1961-05-01,11.1,14.8,8.1,-999.0,-999.0,-999.0,0.7918328420137845
1961-06-01,11.1,14.8,8.1,-999.0,-999.0,-999.0,0.7918328420137845
1961-07-01,11.1,14.8,8.1,-999.0,-999.0,-999.0,0.7918328420137845
1961-08-01,11.1,14.8,8.1,-999.0,-999.0,-999.0,0.7918328420137845
1961-09-01,11.1,14.8,8.1,-999.0,-999.0,-999.0,0.7918328420137845
1961-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1961-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1961-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1962-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1962-02-01,9.3,21.3,8.9,-999.0,-999.0,-999.0,0.8875567352712
1962-03-01,14.9,26.3,13.5,-999.0,-999.0,-999.0,1.261151030593993
1962-04-01,19.8,31.0,16.3,-999.0,-999.0,-999.0,1.5533143205296256
1962-05-01,19.8,31.0,16.3,-999.0,-999.0,-999.0,1.5533143205296256
1962-06-01,19.8,31.0,16.3,-999.0,-999.0,-999.0,1.5533143205296256
1962-07-01,19.8,31.0,16.3,-999.0,-999.0,-999.0,1.5533143205296256
1962-08-01,19.8,31.0,16.3,-999.0,-999.0,-999.0,1.5533143205296256
1962-09-01,19.8,31.0,16.3,-999.0,-999.0,-999.0,1.5533143205296256
1962-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1962-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1962-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1963-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1963-02-01,3.3,5.1,3.2,-999.0,-999.0,-999.0,0.27365794336318783
1963-03-01,8.3,10.7,8.0,-999.0,-999.0,-999.0,0.649771061402954
1963-04-01,11.8,15.7,8.4,-999.0,-999.0,-999.0,0.834241952385225
1963-05-01,11.8,15.7,8.4,-999.0,-999.0,-999.0,0.834241952385225
1963-06-01,11.8,15.7,8.4,-999.0,-999.0,-999.0,0.834241952385225
1963-07-01,11.8,15.7,8.4,-999.0,-999.0,-999.0,0.834241952385225
1963-08-01,11.8,15.7,8.4,-999.0,-999.0,-999.0,0.834241952385225
1963-09-01,11.8,15.7,8.4,-999.0,-999.0,-999.0,0.834241952385225
1963-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1963-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
