,07M08,762,1188,basinwide_average
1951-09-01,5.8,-999.0,-999.0,0.7682816185810198
1951-10-01,0.0,-999.0,-999.0,0.0
1951-11-01,0.0,-999.0,-999.0,0.0
1951-12-01,0.0,-999.0,-999.0,0.0
1952-01-01,0.0,-999.0,-999.0,0.0
1952-02-01,11.9,-999.0,-999.0,1.5763019415714028
1952-03-01,11.9,-999.0,-999.0,1.5763019415714028
1952-04-01,12.6,-999.0,-999.0,1.66902558519325
1952-05-01,12.6,-999.0,-999.0,1.66902558519325
1952-06-01,12.6,-999.0,-999.0,1.66902558519325
1952-07-01,12.6,-999.0,-999.0,1.66902558519325
1952-08-01,12.6,-999.0,-999.0,1.66902558519325
1952-09-01,12.6,-999.0,-999.0,1.66902558519325
1952-10-01,0.0,-999.0,-999.0,0.0
1952-11-01,0.0,-999.0,-999.0,0.0
1952-12-01,0.0,-999.0,-999.0,0.0
1953-01-01,0.0,-999.0,-999.0,0.0
1953-02-01,0.0,-999.0,-999.0,0.0
1953-03-01,5.8,-999.0,-999.0,0.7682816185810198
1953-04-01,5.8,-999.0,-999.0,0.7682816185810198
1953-05-01,5.8,-999.0,-999.0,0.7682816185810198
1953-06-01,5.8,-999.0,-999.0,0.7682816185810198
1953-07-01,5.8,-999.0,-999.0,0.7682816185810198
1953-08-01,5.8,-999.0,-999.0,0.7682816185810198
1953-09-01,5.8,-999.0,-999.0,0.7682816185810198
1953-10-01,0.0,-999.0,-999.0,0.0
1953-11-01,0.0,-999.0,-999.0,0.0
1953-12-01,0.0,-999.0,-999.0,0.0
1954-01-01,0.0,-999.0,-999.0,0.0
1954-02-01,0.0,-999.0,-999.0,0.0
1954-03-01,0.0,-999.0,-999.0,0.0
1954-04-01,0.0,-999.0,-999.0,0.0
1954-05-01,0.0,-999.0,-999.0,0.0
1954-06-01,0.0,-999.0,-999.0,0.0
1954-07-01,0.0,-999.0,-999.0,0.0
1954-08-01,0.0,-999.0,-999.0,0.0
1954-09-01,0.0,-999.0,-999.0,0.0
1954-10-01,0.0,-999.0,-999.0,0.0
1954-11-01,0.0,-999.0,-999.0,0.0
1954-12-01,0.0,-999.0,-999.0,0.0
1955-01-01,0.0,-999.0,-999.0,0.0
1955-02-01,0.0,-999.0,-999.0,0.0
1955-03-01,5.7,-999.0,-999.0,0.7550353837778988
1955-04-01,6.4,-999.0,-999.0,0.8477590273997461
1955-05-01,6.4,-999.0,-999.0,0.8477590273997461
1955-06-01,6.4,-999.0,-999.0,0.8477590273997461
1955-07-01,6.4,-999.0,-999.0,0.8477590273997461
1955-08-01,6.4,-999.0,-999.0,0.8477590273997461
1955-09-01,6.4,-999.0,-999.0,0.8477590273997461
1955-10-01,0.0,-999.0,-999.0,0.0
1955-11-01,0.0,-999.0,-999.0,0.0
1955-12-01,0.0,-999.0,-999.0,0.0
1956-01-01,0.0,-999.0,-999.0,0.0
1956-02-01,0.0,-999.0,-999.0,0.0
1956-03-01,7.5,-999.0,-999.0,0.9934676102340774
1956-04-01,7.5,-999.0,-999.0,0.9934676102340774
1956-05-01,7.5,-999.0,-999.0,0.9934676102340774
1956-06-01,7.5,-999.0,-999.0,0.9934676102340774
1956-07-01,7.5,-999.0,-999.0,0.9934676102340774
1956-08-01,7.5,-999.0,-999.0,0.9934676102340774
1956-09-01,7.5,-999.0,-999.0,0.9934676102340774
1956-10-01,0.0,-999.0,-999.0,0.0
1956-11-01,0.0,-999.0,-999.0,0.0
1956-12-01,0.0,-999.0,-999.0,0.0
1957-01-01,0.0,-999.0,-999.0,0.0
1957-02-01,0.0,-999.0,-999.0,0.0
1957-03-01,13.3,-999.0,-999.0,1.7617492288150973
1957-04-01,13.3,-999.0,-999.0,1.7617492288150973
1957-05-01,13.3,-999.0,-999.0,1.7617492288150973
1957-06-01,13.3,-999.0,-999.0,1.7617492288150973
1957-07-01,13.3,-999.0,-999.0,1.7617492288150973
1957-08-01,13.3,-999.0,-999.0,1.7617492288150973
1957-09-01,13.3,-999.0,-999.0,1.7617492288150973
1957-10-01,0.0,-999.0,-999.0,0.0
1957-11-01,0.0,-999.0,-999.0,0.0
1957-12-01,0.0,-999.0,-999.0,0.0
1958-01-01,0.0,-999.0,-999.0,0.0
1958-02-01,0.0,-999.0,-999.0,0.0
1958-03-01,13.0,-999.0,-999.0,1.7220105244057342
1958-04-01,14.7,-999.0,-999.0,1.9471965160587916
1958-05-01,14.7,-999.0,-999.0,1.9471965160587916
1958-06-01,14.7,-999.0,-999.0,1.9471965160587916
1958-07-01,14.7,-999.0,-999.0,1.9471965160587916
1958-08-01,14.7,-999.0,-999.0,1.9471965160587916
1958-09-01,14.7,-999.0,-999.0,1.9471965160587916
1958-10-01,0.0,-999.0,-999.0,0.0
1958-11-01,0.0,-999.0,-999.0,0.0
1958-12-01,0.0,-999.0,-999.0,0.0
1959-01-01,0.0,-999.0,-999.0,0.0
1959-02-01,0.0,-999.0,-999.0,0.0
1959-03-01,6.1,-999.0,-999.0,0.808020322990383
1959-04-01,8.1,-999.0,-999.0,1.0729450190528036
1959-05-01,8.1,-999.0,-999.0,1.0729450190528036
1959-06-01,8.1,-999.0,-999.0,1.0729450190528036
1959-07-01,8.1,-999.0,-999.0,1.0729450190528036
1959-08-01,8.1,-999.0,-999.0,1.0729450190528036
1959-09-01,8.1,-999.0,-999.0,1.0729450190528036
1959-10-01,0.0,-999.0,-999.0,0.0
1959-11-01,0.0,-999.0,-999.0,0.0
1959-12-01,0.0,-999.0,-999.0,0.0
1960-01-01,0.0,-999.0,-999.0,0.0
1960-02-01,0.0,-999.0,-999.0,0.0
1960-03-01,8.1,-999.0,-999.0,1.0729450190528036
1960-04-01,9.3,-999.0,-999.0,1.231899836690256
1960-05-01,9.3,-999.0,-999.0,1.231899836690256
1960-06-01,9.3,-999.0,-999.0,1.231899836690256
1960-07-01,9.3,-999.0,-999.0,1.231899836690256
1960-08-01,9.3,-999.0,-999.0,1.231899836690256
1960-09-01,9.3,-999.0,-999.0,1.231899836690256
1960-10-01,0.0,-999.0,-999.0,0.0
1960-11-01,0.0,-999.0,-999.0,0.0
1960-12-01,0.0,-999.0,-999.0,0.0
1961-01-01,0.0,-999.0,-999.0,0.0
1961-02-01,0.0,-999.0,-999.0,0.0
1961-03-01,5.5,-999.0,-999.0,0.7285429141716567
1961-04-01,6.9,-999.0,-999.0,0.9139902014153513
1961-05-01,6.9,-999.0,-999.0,0.9139902014153513
1961-06-01,6.9,-999.0,-999.0,0.9139902014153513
1961-07-01,6.9,-999.0,-999.0,0.9139902014153513
1961-08-01,6.9,-999.0,-999.0,0.9139902014153513
1961-09-01,6.9,-999.0,-999.0,0.9139902014153513
1961-10-01,0.0,-999.0,-999.0,0.0
1961-11-01,0.0,-999.0,-999.0,0.0
1961-12-01,0.0,-999.0,-999.0,0.0
1962-01-01,0.0,-999.0,-999.0,0.0
1962-02-01,0.0,-999.0,-999.0,0.0
1962-03-01,9.7,-999.0,-999.0,1.28488477590274
1962-04-01,9.7,-999.0,-999.0,1.28488477590274
1962-05-01,9.7,-999.0,-999.0,1.28488477590274
1962-06-01,9.7,-999.0,-999.0,1.28488477590274
1962-07-01,9.7,-999.0,-999.0,1.28488477590274
1962-08-01,9.7,-999.0,-999.0,1.28488477590274
1962-09-01,9.7,-999.0,-999.0,1.28488477590274
1962-10-01,0.0,-999.0,-999.0,0.0
1962-11-01,0.0,-999.0,-999.0,0.0
1962-12-01,0.0,-999.0,-999.0,0.0
1963-01-01,0.0,-999.0,-999.0,0.0
1963-02-01,0.0,-999.0,-999.0,0.0
1963-03-01,5.2,-999.0,-999.0,0.6888042097622937
1963-04-01,6.0,-999.0,-999.0,0.7947740881872619
1963-05-01,6.0,-999.0,-999.0,0.7947740881872619
1963-06-01,6.0,-999.0,-999.0,0.7947740881872619
1963-07-01,6.0,-999.0,-999.0,0.7947740881872619
1963-08-01,6.0,-999.0,-999.0,0.7947740881872619
1963-09-01,6.0,-999.0,-999.0,0.7947740881872619
1963-10-01,0.0,-999.0,-999.0,0.0
1963-11-01,0.0,-999.0,-999.0,0.0
1963-12-01,0.0,-999.0,-999.0,0.0
1964-01-01,0.0,-999.0,-999.0,0.0
1964-02-01,0.0,-999.0,-999.0,0.0
1964-03-01,4.1,-999.0,-999.0,0.5430956269279623
1964-04-01,5.3,-999.0,-999.0,0.7020504445654147
1964-05-01,5.3,-999.0,-999.0,0.7020504445654147
1964-06-01,5.3,-999.0,-999.0,0.7020504445654147
1964-07-01,5.3,-999.0,-999.0,0.7020504445654147
1964-08-01,5.3,-999.0,-999.0,0.7020504445654147
1964-09-01,5.3,-999.0,-999.0,0.7020504445654147
1964-10-01,0.0,-999.0,-999.0,0.0
1964-11-01,0.0,-999.0,-999.0,0.0
1964-12-01,0.0,-999.0,-999.0,0.0
1965-01-01,0.0,-999.0,-999.0,0.0
1965-02-01,0.0,-999.0,-999.0,0.0
1965-03-01,9.4,-999.0,-999.0,1.245146071493377
1965-04-01,11.1,-999.0,-999.0,1.4703320631464345
1965-05-01,11.1,-999.0,-999.0,1.4703320631464345
1965-06-01,11.1,-999.0,-999.0,1.4703320631464345
1965-07-01,11.1,-999.0,-999.0,1.4703320631464345
1965-08-01,11.1,-999.0,-999.0,1.4703320631464345
1965-09-01,11.1,-999.0,-999.0,1.4703320631464345
1965-10-01,0.0,-999.0,-999.0,0.0
1965-11-01,0.0,-999.0,-999.0,0.0
1965-12-01,0.0,-999.0,-999.0,0.0
1966-01-01,0.0,-999.0,-999.0,0.0
1966-02-01,0.0,-999.0,-999.0,0.0
1966-03-01,5.0,-999.0,-999.0,0.6623117401560517
1966-04-01,5.0,-999.0,-999.0,0.6623117401560517
1966-05-01,5.0,-999.0,-999.0,0.6623117401560517
1966-06-01,5.0,-999.0,-999.0,0.6623117401560517
1966-07-01,5.0,-999.0,-999.0,0.6623117401560517
1966-08-01,5.0,-999.0,-999.0,0.6623117401560517
1966-09-01,5.0,-999.0,-999.0,0.6623117401560517
1966-10-01,0.0,-999.0,-999.0,0.0
1966-11-01,0.0,-999.0,-999.0,0.0
1966-12-01,0.0,-999.0,-999.0,0.0
1967-01-01,0.0,-999.0,-999.0,0.0
1967-02-01,0.0,-999.0,-999.0,0.0
1967-03-01,4.6,-999.0,-999.0,0.6093268009435674
1967-04-01,4.6,-999.0,-999.0,0.6093268009435674
1967-05-01,4.6,-999.0,-999.0,0.6093268009435674
1967-06-01,4.6,-999.0,-999.0,0.6093268009435674
1967-07-01,4.6,-999.0,-999.0,0.6093268009435674
1967-08-01,4.6,-999.0,-999.0,0.6093268009435674
1967-09-01,4.6,-999.0,-999.0,0.6093268009435674
1967-10-01,0.0,-999.0,-999.0,0.0
1967-11-01,0.0,-999.0,-999.0,0.0
1967-12-01,0.0,-999.0,-999.0,0.0
1968-01-01,0.0,-999.0,-999.0,0.0
1968-02-01,0.0,-999.0,-999.0,0.0
1968-03-01,7.6,-999.0,-999.0,1.0067138450371984
1968-04-01,9.6,-999.0,-999.0,1.271638541099619
1968-05-01,9.6,-999.0,-999.0,1.271638541099619
1968-06-01,9.6,-999.0,-999.0,1.271638541099619
1968-07-01,9.6,-999.0,-999.0,1.271638541099619
1968-08-01,9.6,-999.0,-999.0,1.271638541099619
1968-09-01,9.6,-999.0,-999.0,1.271638541099619
1968-10-01,0.0,-999.0,-999.0,0.0
1968-11-01,0.0,-999.0,-999.0,0.0
1968-12-01,0.0,-999.0,-999.0,0.0
1969-01-01,0.0,-999.0,-999.0,0.0
1969-02-01,4.2,-999.0,-999.0,0.5563418617310834
1969-03-01,6.0,-999.0,-999.0,0.7947740881872619
1969-04-01,8.4,-999.0,-999.0,1.1126837234621667
1969-05-01,8.4,-999.0,-999.0,1.1126837234621667
1969-06-01,8.4,-999.0,-999.0,1.1126837234621667
1969-07-01,8.4,-999.0,-999.0,1.1126837234621667
1969-08-01,8.4,-999.0,-999.0,1.1126837234621667
1969-09-01,8.4,-999.0,-999.0,1.1126837234621667
1969-10-01,0.0,-999.0,-999.0,0.0
1969-11-01,0.0,-999.0,-999.0,0.0
1969-12-01,0.0,-999.0,-999.0,0.0
1970-01-01,0.0,-999.0,-999.0,0.0
1970-02-01,7.3,-999.0,-999.0,0.9669751406278353
1970-03-01,7.6,-999.0,-999.0,1.0067138450371984
1970-04-01,9.4,-999.0,-999.0,1.245146071493377
1970-05-01,9.5,-999.0,-999.0,1.2583923062964981
1970-06-01,9.5,-999.0,-999.0,1.2583923062964981
1970-07-01,9.5,-999.0,-999.0,1.2583923062964981
1970-08-01,9.5,-999.0,-999.0,1.2583923062964981
1970-09-01,9.5,-999.0,-999.0,1.2583923062964981
1970-10-01,0.0,-999.0,-999.0,0.0
1970-11-01,0.0,-999.0,-999.0,0.0
1970-12-01,0.0,-999.0,-999.0,0.0
1971-01-01,0.0,-999.0,-999.0,0.0
1971-02-01,2.9,-999.0,-999.0,0.3841408092905099
1971-03-01,5.8,-999.0,-999.0,0.7682816185810198
1971-04-01,7.2,-999.0,-999.0,0.9537289058247144
1971-05-01,7.2,-999.0,-999.0,0.9537289058247144
1971-06-01,7.2,-999.0,-999.0,0.9537289058247144
1971-07-01,7.2,-999.0,-999.0,0.9537289058247144
1971-08-01,7.2,-999.0,-999.0,0.9537289058247144
1971-09-01,7.2,-999.0,-999.0,0.9537289058247144
1971-10-01,0.0,-999.0,-999.0,0.0
1971-11-01,0.0,-999.0,-999.0,0.0
1971-12-01,0.0,-999.0,-999.0,0.0
1972-01-01,0.0,-999.0,-999.0,0.0
1972-02-01,7.6,-999.0,-999.0,1.0067138450371984
1972-03-01,7.6,-999.0,-999.0,1.0067138450371984
1972-04-01,7.6,-999.0,-999.0,1.0067138450371984
1972-05-01,7.6,-999.0,-999.0,1.0067138450371984
1972-06-01,7.6,-999.0,-999.0,1.0067138450371984
1972-07-01,7.6,-999.0,-999.0,1.0067138450371984
1972-08-01,7.6,-999.0,-999.0,1.0067138450371984
1972-09-01,7.6,-999.0,-999.0,1.0067138450371984
1972-10-01,0.0,-999.0,-999.0,0.0
1972-11-01,0.0,-999.0,-999.0,0.0
1972-12-01,0.0,-999.0,-999.0,0.0
1973-01-01,0.0,-999.0,-999.0,0.0
1973-02-01,6.3,-999.0,-999.0,0.834512792596625
1973-03-01,7.1,-999.0,-999.0,0.9404826710215932
1973-04-01,7.9,-999.0,-999.0,1.0464525494465615
1973-05-01,8.0,-999.0,-999.0,1.0596987842496826
1973-06-01,8.0,-999.0,-999.0,1.0596987842496826
1973-07-01,8.0,-999.0,-999.0,1.0596987842496826
1973-08-01,8.0,-999.0,-999.0,1.0596987842496826
1973-09-01,8.0,-999.0,-999.0,1.0596987842496826
1973-10-01,0.0,-999.0,-999.0,0.0
1973-11-01,0.0,-999.0,-999.0,0.0
1973-12-01,0.0,-999.0,-999.0,0.0
1974-01-01,0.0,-999.0,-999.0,0.0
1974-02-01,6.3,-999.0,-999.0,0.834512792596625
1974-03-01,6.6,-999.0,-999.0,0.874251497005988
1974-04-01,8.0,-999.0,-999.0,1.0596987842496826
1974-05-01,8.0,-999.0,-999.0,1.0596987842496826
1974-06-01,8.0,-999.0,-999.0,1.0596987842496826
1974-07-01,8.0,-999.0,-999.0,1.0596987842496826
1974-08-01,8.0,-999.0,-999.0,1.0596987842496826
1974-09-01,8.0,-999.0,-999.0,1.0596987842496826
1974-10-01,0.0,-999.0,-999.0,0.0
1974-11-01,0.0,-999.0,-999.0,0.0
1974-12-01,0.0,-999.0,-999.0,0.0
1975-01-01,0.0,-999.0,-999.0,0.0
1975-02-01,5.3,-999.0,-999.0,0.7020504445654147
1975-03-01,7.9,-999.0,-999.0,1.0464525494465615
1975-04-01,10.7,-999.0,-999.0,1.4173471239339503
1975-05-01,11.4,-999.0,-999.0,1.5100707675557976
1975-06-01,11.4,-999.0,-999.0,1.5100707675557976
1975-07-01,11.4,-999.0,-999.0,1.5100707675557976
1975-08-01,11.4,-999.0,-999.0,1.5100707675557976
1975-09-01,11.4,-999.0,-999.0,1.5100707675557976
1975-10-01,0.0,-999.0,-999.0,0.0
1975-11-01,0.0,-999.0,-999.0,0.0
1975-12-01,0.0,-999.0,-999.0,0.0
1976-01-01,0.0,-999.0,-999.0,0.0
1976-02-01,4.1,-999.0,-999.0,0.5430956269279623
1976-03-01,6.1,-999.0,-999.0,0.808020322990383
1976-04-01,7.0,-999.0,-999.0,0.9272364362184723
1976-05-01,7.0,-999.0,-999.0,0.9272364362184723
1976-06-01,7.0,-999.0,-999.0,0.9272364362184723
1976-07-01,7.0,-999.0,-999.0,0.9272364362184723
1976-08-01,7.0,-999.0,-999.0,0.9272364362184723
1976-09-01,7.0,-999.0,-999.0,0.9272364362184723
1976-10-01,0.0,-999.0,-999.0,0.0
1976-11-01,0.0,-999.0,-999.0,0.0
1976-12-01,0.0,-999.0,-999.0,0.0
1977-01-01,0.0,-999.0,-999.0,0.0
1977-02-01,0.9,-999.0,-999.0,0.1192161132280893
1977-03-01,1.3,-999.0,-999.0,0.17220105244057343
1977-04-01,2.1,-999.0,-999.0,0.2781709308655417
1977-05-01,2.1,-999.0,-999.0,0.2781709308655417
1977-06-01,2.1,-999.0,-999.0,0.2781709308655417
1977-07-01,2.1,-999.0,-999.0,0.2781709308655417
1977-08-01,2.1,-999.0,-999.0,0.2781709308655417
1977-09-01,2.1,-999.0,-999.0,0.2781709308655417
1977-10-01,0.0,-999.0,-999.0,0.0
1977-11-01,0.0,-999.0,-999.0,0.0
1977-12-01,0.0,-999.0,-999.0,0.0
1978-01-01,0.0,-999.0,-999.0,0.0
1978-02-01,6.2,-999.0,-999.0,0.821266557793504
1978-03-01,7.1,-999.0,-999.0,0.9404826710215932
1978-04-01,7.8,-999.0,-999.0,1.0332063146434405
1978-05-01,7.8,-999.0,-999.0,1.0332063146434405
1978-06-01,7.8,-999.0,-999.0,1.0332063146434405
1978-07-01,7.8,-999.0,-999.0,1.0332063146434405
1978-08-01,7.8,-999.0,-999.0,1.0332063146434405
1978-09-01,7.8,-999.0,-999.0,1.0332063146434405
1978-10-01,0.0,-999.0,-999.0,0.0
1978-11-01,0.0,-999.0,-999.0,0.0
1978-12-01,0.0,-999.0,-999.0,0.0
1979-01-01,0.0,-999.0,-999.0,0.0
1979-02-01,9.3,-999.0,-999.0,1.231899836690256
1979-03-01,9.6,-999.0,-999.0,1.271638541099619
1979-04-01,10.7,-999.0,-999.0,1.4173471239339503
1979-05-01,10.7,-999.0,-999.0,1.4173471239339503
1979-06-01,10.7,-999.0,-999.0,1.4173471239339503
1979-07-01,10.7,-999.0,-999.0,1.4173471239339503
1979-08-01,10.7,-999.0,-999.0,1.4173471239339503
1979-09-01,10.7,-999.0,-999.0,1.4173471239339503
1979-10-01,0.0,-999.0,-999.0,0.0
1979-11-01,0.0,-999.0,-999.0,0.0
1979-12-01,0.0,-999.0,-999.0,0.0
1980-01-01,0.0,-999.0,-999.0,0.0
1980-02-01,4.5,-999.0,-999.0,0.5960805661404465
1980-03-01,7.7,-999.0,-999.0,1.0199600798403194
1980-04-01,9.6,-999.0,-999.0,1.271638541099619
1980-05-01,9.6,-999.0,-999.0,1.271638541099619
1980-06-01,9.6,-999.0,-999.0,1.271638541099619
1980-07-01,9.6,-999.0,-999.0,1.271638541099619
1980-08-01,9.6,-999.0,-999.0,1.271638541099619
1980-09-01,9.6,-999.0,-999.0,1.271638541099619
1980-10-01,0.0,0.0,-999.0,0.0
1980-11-01,0.0,0.0,-999.0,0.0
1980-12-01,0.0,1.0,-999.0,0.0349769663879884
1981-01-01,0.0,2.4,-999.0,0.08394471933117215
1981-02-01,1.7,2.9,-999.0,0.21402619835169512
1981-03-01,2.2,4.5,-999.0,0.3031049315802792
1981-04-01,4.0,7.8,-999.0,0.5377450338887302
1981-05-01,4.0,7.8,-999.0,0.5377450338887302
1981-06-01,4.0,7.8,-999.0,0.5377450338887302
1981-07-01,4.0,7.8,-999.0,0.5377450338887302
1981-08-01,4.0,7.8,-999.0,0.5377450338887302
1981-09-01,4.0,7.8,-999.0,0.5377450338887302
1981-10-01,0.0,0.0,-999.0,0.0
1981-11-01,0.0,2.5,-999.0,0.087442415969971
1981-12-01,0.0,5.0,-999.0,0.174884831939942
1982-01-01,0.0,7.6,-999.0,0.2658249445487118
1982-02-01,4.8,10.2,-999.0,0.6746746924323863
1982-03-01,5.5,12.5,-999.0,0.8014835369356834
1982-04-01,7.7,15.7,-999.0,1.0591184122115775
1982-05-01,7.7,17.4,-999.0,1.118579255071158
1982-06-01,7.7,17.4,-999.0,1.118579255071158
1982-07-01,7.7,17.4,-999.0,1.118579255071158
1982-08-01,7.7,17.4,-999.0,1.118579255071158
1982-09-01,7.7,17.4,-999.0,1.118579255071158
1982-10-01,0.0,0.0,-999.0,0.0
1982-11-01,0.0,1.7,-999.0,0.059460842859580275
1982-12-01,0.0,5.2,-999.0,0.1818802252175397
1983-01-01,0.0,6.6,-999.0,0.23084797816072342
1983-02-01,3.2,6.9,-999.0,0.45328082492705646
1983-03-01,3.8,8.8,-999.0,0.5594757654735976
1983-04-01,5.3,11.5,-999.0,0.753260335744574
1983-05-01,5.3,14.3,-999.0,0.8511958416309415
1983-06-01,5.3,14.3,-999.0,0.8511958416309415
1983-07-01,5.3,14.3,-999.0,0.8511958416309415
1983-08-01,5.3,14.3,-999.0,0.8511958416309415
1983-09-01,5.3,14.3,-999.0,0.8511958416309415
1983-10-01,0.0,0.0,-999.0,0.0
1983-11-01,0.0,0.0,-999.0,0.0
1983-12-01,0.0,3.4,-999.0,0.11892168571916055
1984-01-01,0.0,11.9,-999.0,0.41622590001706194
1984-02-01,8.3,11.9,-999.0,0.9659446443465848
1984-03-01,10.1,14.0,-999.0,1.1586123869894496
1984-04-01,11.2,17.6,-999.0,1.3573837574033736
1984-05-01,11.2,20.5,-999.0,1.4588169599285399
1984-06-01,11.2,20.5,-999.0,1.4588169599285399
1984-07-01,11.2,20.5,-999.0,1.4588169599285399
1984-08-01,11.2,20.5,-999.0,1.4588169599285399
1984-09-01,11.2,20.5,-999.0,1.4588169599285399
1984-10-01,0.0,0.0,-999.0,0.0
1984-11-01,0.0,4.4,-999.0,0.15389865210714895
1984-12-01,0.0,5.4,-999.0,0.18887561849513737
1985-01-01,0.0,8.0,-999.0,0.2798157311039072
1985-02-01,5.0,9.2,-999.0,0.652943960847519
1985-03-01,5.8,11.0,-999.0,0.7688874395583822
1985-04-01,8.0,15.1,-999.0,1.058001584583466
1985-05-01,8.0,16.6,-999.0,1.1104670341654488
1985-06-01,8.0,16.6,-999.0,1.1104670341654488
1985-07-01,8.0,16.6,-999.0,1.1104670341654488
1985-08-01,8.0,16.6,-999.0,1.1104670341654488
1985-09-01,8.0,16.6,-999.0,1.1104670341654488
1985-10-01,0.0,0.0,-999.0,0.0
1985-11-01,0.0,2.5,-999.0,0.087442415969971
1985-12-01,0.0,8.5,-999.0,0.2973042142979014
1986-01-01,0.0,9.6,-999.0,0.3357788773246886
1986-02-01,4.6,10.2,-999.0,0.6614284576292653
1986-03-01,6.0,13.3,-999.0,0.8625806970538767
1986-04-01,6.0,15.2,-999.0,0.9290369331910546
1986-05-01,6.0,16.5,-999.0,0.9745069894954395
1986-06-01,6.0,16.5,-999.0,0.9745069894954395
1986-07-01,6.0,16.5,-999.0,0.9745069894954395
1986-08-01,6.0,16.5,-999.0,0.9745069894954395
1986-09-01,6.0,16.5,-999.0,0.9745069894954395
1986-10-01,0.0,0.0,-999.0,0.0
1986-11-01,0.0,3.0,-999.0,0.1049308991639652
1986-12-01,0.0,6.0,-999.0,0.2098617983279304
1987-01-01,0.0,6.7,-999.0,0.23434567479952229
1987-02-01,5.5,10.1,-999.0,0.7175388176045112
1987-03-01,7.0,15.0,-999.0,0.9882727139290621
1987-04-01,10.6,18.6,-999.0,1.3526220193819989
1987-05-01,10.6,18.6,-999.0,1.3526220193819989
1987-06-01,10.6,18.6,-999.0,1.3526220193819989
1987-07-01,10.6,18.6,-999.0,1.3526220193819989
1987-08-01,10.6,18.6,-999.0,1.3526220193819989
1987-09-01,10.6,18.6,-999.0,1.3526220193819989
1987-10-01,0.0,0.0,-999.0,0.0
1987-11-01,0.0,1.1,-999.0,0.03847466302678724
1987-12-01,0.0,3.9,-999.0,0.13641016891315474
1988-01-01,0.0,6.1,-999.0,0.2133594949667292
1988-02-01,4.5,8.2,-999.0,0.5848514074517281
1988-03-01,5.2,9.4,-999.0,0.6731855889282379
1988-04-01,5.9,11.1,-999.0,0.7790082535987417
1988-05-01,5.9,11.1,-999.0,0.7790082535987417
1988-06-01,5.9,11.1,-999.0,0.7790082535987417
1988-07-01,5.9,11.1,-999.0,0.7790082535987417
1988-08-01,5.9,11.1,-999.0,0.7790082535987417
1988-09-01,5.9,11.1,-999.0,0.7790082535987417
1988-10-01,0.0,0.0,-999.0,0.0
1988-11-01,0.0,0.0,-999.0,0.0
1988-12-01,0.0,3.3,-999.0,0.11542398908036171
1989-01-01,0.0,6.0,-999.0,0.2098617983279304
1989-02-01,5.1,8.1,-999.0,0.6210924152222923
1989-03-01,7.5,9.8,-999.0,0.839508075719325
1989-04-01,7.5,11.0,-999.0,0.881480435384911
1989-05-01,7.5,11.0,-999.0,0.881480435384911
1989-06-01,7.5,11.0,-999.0,0.881480435384911
1989-07-01,7.5,11.0,-999.0,0.881480435384911
1989-08-01,7.5,11.0,-999.0,0.881480435384911
1989-09-01,7.5,11.0,-999.0,0.881480435384911
1989-10-01,0.0,0.0,-999.0,0.0
1989-11-01,0.0,1.5,-999.0,0.0524654495819826
1989-12-01,0.0,2.2,-999.0,0.07694932605357448
1990-01-01,0.0,3.4,-999.0,0.11892168571916055
1990-02-01,2.1,5.1,-999.0,0.31746799401151166
1990-03-01,2.8,6.6,-999.0,0.41629526540441786
1990-04-01,3.4,8.8,-999.0,0.5329832958673555
1990-05-01,3.4,12.3,-999.0,0.6554026782253148
1990-06-01,3.4,12.3,-999.0,0.6554026782253148
1990-07-01,3.4,12.3,-999.0,0.6554026782253148
1990-08-01,3.4,12.3,-999.0,0.6554026782253148
1990-09-01,3.4,12.3,-999.0,0.6554026782253148
1990-10-01,0.0,0.0,-999.0,0.0
1990-11-01,0.0,2.8,-999.0,0.09793550588636751
1990-12-01,0.0,7.5,-999.0,0.26232724790991296
1991-01-01,0.0,8.5,-999.0,0.2973042142979014
1991-02-01,4.5,9.2,-999.0,0.6198283738397165
1991-03-01,4.5,10.0,-999.0,0.6478099469501073
1991-04-01,6.9,13.7,-999.0,0.9361795402231167
1991-05-01,6.9,14.3,-999.0,0.9571657200559098
1991-06-01,6.9,14.3,-999.0,0.9571657200559098
1991-07-01,6.9,14.3,-999.0,0.9571657200559098
1991-08-01,6.9,14.3,-999.0,0.9571657200559098
1991-09-01,6.9,14.3,-999.0,0.9571657200559098
1991-10-01,0.0,0.0,-999.0,0.0
1991-11-01,0.0,1.7,-999.0,0.059460842859580275
1991-12-01,0.0,5.4,-999.0,0.18887561849513737
1992-01-01,0.0,6.3,-999.0,0.2203548882443269
1992-02-01,4.0,7.2,-999.0,0.5167588540559371
1992-03-01,4.2,8.3,-999.0,0.5684797518858454
1992-04-01,6.1,11.1,-999.0,0.7922544884018627
1992-05-01,6.1,11.1,-999.0,0.7922544884018627
1992-06-01,6.1,11.1,-999.0,0.7922544884018627
1992-07-01,6.1,11.1,-999.0,0.7922544884018627
1992-08-01,6.1,11.1,-999.0,0.7922544884018627
1992-09-01,6.1,11.1,-999.0,0.7922544884018627
1992-10-01,0.0,0.0,-999.0,0.0
1992-11-01,0.0,0.5,-999.0,0.0174884831939942
1992-12-01,0.0,3.3,-999.0,0.11542398908036171
1993-01-01,0.0,5.4,-999.0,0.18887561849513737
1993-02-01,5.0,7.4,-999.0,0.58998542134914
